nrm1_l4_code,nrm1_l3_code,nrm1_l2_code,nrm1_description,nrm1_unit,nrm2_primary_ws,nrm2_primary_ws_name,nrm2_primary_items,nrm2_secondary_ws,confidence,matched_keywords,notes
2.6.1.3,2.6.1,2.6,"Shop fronts: details, including overall size of opening (mm), to be stated.",m2,4,"Alterations, repairs and conservation","3, 6",,Medium,opening,
2.6.1.4,2.6.1,2.6,"Roller shutters, sliding shutters, grilles and the like to window openings: details, including overall size of opening (mm), to be stated.",nr,23,"Windows, screens","1, 2, 3, 4","WS4:3,6; WS24:10; WS26:4",High,"grille, opening, roller shutter, window",
2.6.2.1,2.6.2,2.6,"External doors: details, including type, number of door leaves (nr), size of each door leaf (mm) and overall size of opening (mm), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS4:3,6",High,"door, opening",
2.6.2.2,2.6.2,2.6,"Revolving doors: details, including overall size of opening (mm), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS4:3,6",High,"door, opening",
2.6.2.3,2.6.2,2.6,"Shop front doors: details, including type, number of door leaves (nr), size of each door leaf (mm) and overall size of opening (mm), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS4:3,6",High,"door, opening",
2.6.2.4,2.6.2,2.6,"Roller shutters, sliding shutters and the like to external door openings: details, including overall size of opening (mm), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5, 10","WS4:3,6",High,"door, opening, roller shutter",
2.6.2.5,2.6.2,2.6,"Garage doors: details, including overall size of opening (mm), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5, 9","WS4:3,6",High,"door, garage door, opening",
2.6.2.6,2.6.2,2.6,Canopies: details to be stated.,nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS23:1,2,3,4",High,"door, window",
2.6.2.7,2.6.2,2.6,"Grilles: details, including overall size of opening (mm), to be stated.",nr,4,"Alterations, repairs and conservation","3, 6",WS26:4,Medium,"grille, opening",
2.6.2.8,2.6.2,2.6,Architraves: details to be stated.,m,14,Masonry,6,WS22:2,Medium,"arch, architrave",
2.7.3.1,2.7.3,2.7,"Internal walls: details, including thickness, to be stated.",m2,14,Masonry,1,,High,wall,
2.7.3.2,2.7.3,2.7,"Extra over internal walls for forming openings in walls for internal doors and the like: details, including overall size of opening (mm), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS4:3,6; WS14:1",High,"door, opening, wall",
2.7.3.3,2.7.3,2.7,"Fixed partitions: details, including thickness, to be stated.",m2,20,"Linings, partitions","1, 2, 3",,High,partition,
2.7.3.4,2.7.3,2.7,"Extra over fixed partitions for forming openings in partitions for internal doors and the like: details, including overall size of opening (mm), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS4:3,6; WS20:1,2,3",High,"door, opening, partition",
2.7.4.1,2.7.4,2.7,Combined balustrades and handrails: details to be stated.,m,25,"Stairs, walkways","4, 5",,Medium,"balustrade, handrail",
2.7.5.1,2.7.5,2.7,"Moveable room dividers and partitions: details, including height (in m), to be stated.",m,20,"Linings, partitions","1, 2, 3",,High,partition,
2.7.6.1,2.7.6,2.7,Cubicles: details to be stated.,nr/m/m2,20,"Linings, partitions","10, 11",,High,cubicle,
2.7.6.2,2.7.6,2.7,"Fixed partitions: details, including thickness, to be stated.",nr/m/m2,20,"Linings, partitions","1, 2, 3",,High,partition,
2.8.1.1,2.8.1,2.8,"Internal doors: details, including type, number of door leaves (nr), size of each door leaf (mm), and overall size of opening (mm), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS4:3,6",High,"door, opening",
2.8.1.2,2.8.1,2.8,"Fire resisting doors: details, including type, number of door leaves (nr), fire rating (hours), size of each door leaf (mm), and overall size of opening (mm), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS4:3,6",High,"door, opening",
2.8.1.3,2.8.1,2.8,"Door sets: details, including type, number of door leaves (nr), size of each door leaf (mm), and overall size of opening (mm), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS4:3,6",High,"door, opening",
2.8.1.4,2.8.1,2.8,"Composite door and sidelights/over panel units: details, including type, number of door leaves (nr), size of each door leaf (mm), and overall size of opening (mm), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS4:3,6",High,"door, opening",
2.8.1.5,2.8.1,2.8,"Roller shutters, sliding shutters, grilles and the like: details, including overall size of opening (mm), to be stated.",nr,4,"Alterations, repairs and conservation","3, 6",WS24:10; WS26:4,High,"grille, opening, roller shutter",
2.8.1.6,2.8.1,2.8,Architraves: details to be stated.,m,14,Masonry,6,WS22:2,Medium,"arch, architrave",
3.1.1.1,3.1.1,3.1,Finishes to walls and columns: details to be stated.,m2,14,Masonry,1,,Medium,wall,
3.1.1.2,3.1.1,3.1,"Picture rails, dado rails and the like: details to be stated.",m,28,Floor/wall/ceiling finishes,"7, 8, 9",WS14:1,High,"wall, wall finish",
3.1.1.3,3.1.1,3.1,"Proprietary impact and bumper guards, protection strips, corner protectors and the like: details to be stated.",nr/m,28,Floor/wall/ceiling finishes,"7, 8, 9",WS14:1,High,"wall, wall finish",
3.2.1.1,3.2.1,3.2,Finishes to floors: details to be stated.,m2,28,Floor/wall/ceiling finishes,"1, 2, 3",,High,floor finish,
3.2.1.2,3.2.1,3.2,Specialist flooring systems: details to be stated.,m2,28,Floor/wall/ceiling finishes,"1, 2, 3",,High,flooring,
3.2.1.3,3.2.1,3.2,Skirtings and the like: details to be stated.,m,22,General joinery,1,,Medium,skirting,
3.2.1.4,3.2.1,3.2,Mat wells and mats: details to be stated.,nr,28,Floor/wall/ceiling finishes,"1, 2, 3",,High,floor finish,
3.2.1.5,3.2.1,3.2,"Finishes to swimming pool tanks, including tank linings: details to be stated.",m2,28,Floor/wall/ceiling finishes,"1, 2, 3",,High,floor finish,
3.2.1.6,3.2.1,3.2,Line markings: details to be stated.,m,28,Floor/wall/ceiling finishes,"1, 2, 3",,High,floor finish,
3.2.1.7,3.2.1,3.2,Numeral and symbols: details to be stated.,nr,28,Floor/wall/ceiling finishes,"1, 2, 3",,High,floor finish,
3.2.2.1,3.2.2,3.2,Raised access floor systems: details to be stated.,m2,28,Floor/wall/ceiling finishes,"1, 2, 3",,High,floor finish,
3.2.2.2,3.2.2,3.2,Skirtings and the like: details to be stated.,m,22,General joinery,1,,Medium,skirting,
3.3.1.1,3.3.1,3.3,Finishes to ceilings: details to be stated.,m2,28,Floor/wall/ceiling finishes,"13, 14",,High,ceiling finish,
3.3.1.2,3.3.1,3.3,"Cornices, covings and the like: details to be stated.",m,28,Floor/wall/ceiling finishes,"13, 14",,High,ceiling finish,
3.3.2.1,3.3.2,3.3,False ceilings: details to be stated.,m2,28,Floor/wall/ceiling finishes,"13, 14",,High,ceiling finish,
3.3.2.2,3.3.2,3.3,"Cornices, covings and the like: details to be stated.",m,28,Floor/wall/ceiling finishes,"13, 14",,High,ceiling finish,
3.3.2.3,3.3.2,3.3,Access hatches and the like: details to be stated.,nr,28,Floor/wall/ceiling finishes,"13, 14",,High,ceiling finish,
3.3.3.1,3.3.3,3.3,Demountable suspended ceilings: details to be stated.,m2,30,Suspended ceilings,"1, 2, 3",,High,suspended ceiling,
3.3.3.2,3.3.3,3.3,Shadow gaps and the like: details to be stated.,m,30,Suspended ceilings,"1, 2, 3","WS28:13,14",High,"ceiling finish, suspended ceiling",
3.3.3.3,3.3.3,3.3,Access hatches and the like: details to be stated.,nr,30,Suspended ceilings,"1, 2, 3","WS28:13,14",High,"ceiling finish, suspended ceiling",
4.1.1.1,4.1.1,4.1,Fittings: details to be stated.,nr,32,"Furniture, fittings","3, 4",,High,fitting,
4.1.1.2,4.1.1,4.1,Furnishings: details to be stated.,nr,32,"Furniture, fittings","3, 4, 5",,High,"equipment, fitting",
4.1.1.3,4.1.1,4.1,Equipment: details to be stated.,nr,32,"Furniture, fittings",5,,High,equipment,
4.1.2.1,4.1.2,4.1,Kitchen units: details to be stated.,nr,32,"Furniture, fittings","3, 4, 5",,High,"equipment, fitting",
4.1.2.2,4.1.2,4.1,Kitchen appliances: details to be stated.,nr,32,"Furniture, fittings","3, 4, 5",,High,"equipment, fitting",
4.1.2.3,4.1.2,4.1,"Waste bins, towel rails, storage racks and other accessories: details to be stated.",nr,32,"Furniture, fittings","3, 4, 5",,High,"equipment, fitting",
4.1.3.1,4.1.3,4.1,Fittings: details to be stated.,nr,32,"Furniture, fittings","3, 4",,High,fitting,
4.1.3.2,4.1.3,4.1,Furnishings: details to be stated.,nr,32,"Furniture, fittings","3, 4, 5",,High,"equipment, fitting",
4.1.3.3,4.1.3,4.1,Equipment: details to be stated.,nr,32,"Furniture, fittings",5,,High,equipment,
4.1.4.1,4.1.4,4.1,Component: details to be stated.,nr,32,"Furniture, fittings","3, 4, 5",,High,"equipment, fitting",
4.1.5.1,4.1.5,4.1,Objects d'art and other ornamental features: details to be stated.,nr,32,"Furniture, fittings","3, 4, 5",,High,"equipment, fitting",
4.1.5.2,4.1.5,4.1,Decorative features and panels: details to be stated.,nr,32,"Furniture, fittings","3, 4, 5",,High,"equipment, fitting",
4.1.6.1,4.1.6,4.1,Equipment: details to be stated.,nr,32,"Furniture, fittings",5,,High,equipment,
4.1.6.2,4.1.6,4.1,Removable ladders and the like: details to be stated.,nr,32,"Furniture, fittings","3, 4, 5","WS38:1,2,3; WS39:1,2,3",High,"electrical, equipment, fitting, mechanical",
4.1.7.1,4.1.7,4.1,Plant and shrub beds: details to be stated.,nr/m/m2,37,Soft landscaping,5,,Medium,shrub,
4.1.7.2,4.1.7,4.1,Plant containers: details to be stated.,nr,32,"Furniture, fittings","3, 4, 5","WS37:4,5",High,"equipment, fitting, planting",
4.1.7.3,4.1.7,4.1,Trees: details to be stated.,nr,37,Soft landscaping,4,,Medium,tree,
4.1.7.4,4.1.7,4.1,Tree planters: details to be stated.,nr,37,Soft landscaping,4,,Medium,tree,
4.1.8.1,4.1.8,4.1,"Wires, nets, traps and the like: details to be stated.",nr,32,"Furniture, fittings","3, 4, 5",,High,"equipment, fitting",
4.1.8.2,4.1.8,4.1,Electronic and sonic system: details to be stated.,nr,32,"Furniture, fittings","3, 4, 5",,High,"equipment, fitting",
4.1.8.3,4.1.8,4.1,Bird repellent coatings: details to be stated.,m2,29,Decoration,6,,Medium,coating,
5.1.1.1,5.1.1,5.1,Sanitary appliance: details to be stated.,nr,33,Drainage above ground,"9, 10",,High,sanitary appliance,
5.1.1.2,5.1.1,5.1,Testing of installations.,%,33,Drainage above ground,"9, 10","WS40:1,2",High,"lift, sanitary appliance",
5.1.1.3,5.1.1,5.1,Commissioning of installations.,%,33,Drainage above ground,"9, 10","WS40:1,2",High,"lift, sanitary appliance",
5.1.2.1,5.1.2,5.1,Fittings: details to be stated.,nr,32,"Furniture, fittings","3, 4",,Medium,fitting,
5.2.1.1,5.2.1,5.2,Services equipment: details to be stated.,nr,32,"Furniture, fittings",5,,Medium,equipment,
5.2.1.2,5.2.1,5.2,Testing of installations.,%,32,"Furniture, fittings",5,,Medium,equipment,
5.1.2.3,5.1.2,5.1,Commissioning of installations.,%,40,Transportation systems,"1, 2",,Medium,lift,
5.2.2.1,5.2.2,5.2,Drainage to sanitary appliance: details to be stated.,nr,33,Drainage above ground,"9, 10",,Medium,sanitary appliance,
5.2.2.2,5.2.2,5.2,Drainage to services equipment: details to be stated.,nr,32,"Furniture, fittings",5,,Medium,equipment,
5.2.2.3,5.2.2,5.2,Testing of installations.,%,32,"Furniture, fittings",5,,Medium,equipment,
5.2.2.4,5.2.2,5.2,Commissioning of installations.,%,32,"Furniture, fittings",5,,Medium,equipment,
5.2.3.1,5.2.3,5.2,Drainage to appliance or equipment: details to be stated.,nr,32,"Furniture, fittings",5,,Medium,equipment,
5.2.3.2,5.2.3,5.2,Testing of installations.,%,32,"Furniture, fittings",5,,Medium,equipment,
5.2.3.3,5.2.3,5.2,Commissioning of installations.,%,32,"Furniture, fittings",5,,Medium,equipment,
5.2.4.1,5.2.4,5.2,Refuse disposal installation: details to be stated.,nr,5,Excavating and filling,9,,Medium,disposal,
5.2.4.2,5.2.4,5.2,Testing of installations.,%,5,Excavating and filling,9,WS32:5,Medium,"disposal, equipment",
5.2.4.3,5.2.4,5.2,Commissioning of installations.,%,5,Excavating and filling,9,WS32:5,Medium,"disposal, equipment",
5.4.1.1,5.4.1,5.4,"Mains water supply: details, including the number of draw-off points (nr), to be stated.",nr/m2,38,Mechanical services,,,Low,,
5.4.1.2,5.4.1,5.4,Testing of installations.,%,38,Mechanical services,,,Low,,
5.4.1.3,5.4.1,5.4,Commissioning of installations.,%,38,Mechanical services,,,Low,,
5.4.2.1,5.4.2,5.4,"Cold water distribution: details, including the number of draw-off points (nr), to be stated.",nr/m2,38,Mechanical services,12,,High,cold water,
5.4.2.2,5.4.2,5.4,"Storage tanks: details, including type, material and capacity, to be stated.",nr,38,Mechanical services,12,,High,cold water,
5.4.2.3,5.4.2,5.4,Rainwater harvesting systems: details to be stated.,item,38,Mechanical services,12,,High,cold water,
5.4.2.4,5.4.2,5.4,Testing of installations.,%,38,Mechanical services,12,,High,cold water,
5.4.2.5,5.4.2,5.4,Commissioning of installations.,%,38,Mechanical services,12,,High,cold water,
5.4.3.1,5.4.3,5.4,"Hot water distribution: details, including the  number of draw-off points (nr), to be stated.",nr/m2,38,Mechanical services,11,,High,hot water,
5.4.3.2,5.4.3,5.4,Testing of installations.,%,38,Mechanical services,11,,High,hot water,
5.4.3.3,5.4.3,5.4,Commissioning of installations.,%,38,Mechanical services,11,,High,hot water,
5.4.4.1,5.4.4,5.4,Water heaters: details to be stated.,nr,38,Mechanical services,11,,High,hot water,
5.4.4.2,5.4.4,5.4,Testing of installations.,%,38,Mechanical services,11,,High,hot water,
5.4.4.3,5.4.4,5.4,Commissioning of installations.,%,38,Mechanical services,11,,High,hot water,
5.4.5.1,5.4.5,5.4,"Steam and condensate distribution: details, including number of draw-off points (nr), to be stated.",nr,38,Mechanical services,,,Low,,
5.4.5.2,5.4.5,5.4,Testing of installations.,%,38,Mechanical services,,,Low,,
5.4.5.3,5.4.5,5.4,Commissioning of installations.,%,38,Mechanical services,,,Low,,
5.5.1.1,5.5.1,5.5,"Heat source (nr): details, including output of heat source (kW), to be stated.",nr,38,Mechanical services,,,Low,,
5.5.1.2,5.5.1,5.5,Testing of installations.,%,38,Mechanical services,,,Low,,
5.5.1.3,5.5.1,5.5,Commissioning of installations.,%,38,Mechanical services,,,Low,,
5.6.1.1,5.6.1,5.6,Central heating systems: details to be stated.,m2,38,Mechanical services,"3, 4",,High,heating,
5.6.1.2,5.6.1,5.6,Testing of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, heating",
5.6.1.3,5.6.1,5.6,Commissioning of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, heating",
5.6.2.1,5.6.2,5.6,Heaters: details to be stated.,nr,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, heating",
5.6.2.2,5.6.2,5.6,Testing of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, heating",
5.6.2.3,5.6.2,5.6,Commissioning of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, heating",
5.6.3.1,5.6.3,5.6,Central cooling systems: details to be stated.,m2,38,Mechanical services,"5, 6",,High,cooling,
5.6.3.2,5.6.3,5.6,Testing of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, cooling, heating",
5.6.3.3,5.6.3,5.6,Commissioning of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, cooling, heating",
5.6.4.1,5.6.4,5.6,Cooling units: details to be stated.,nr,38,Mechanical services,"5, 6",,High,cooling,
5.6.4.2,5.6.4,5.6,Testing of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, cooling, heating",
5.6.4.3,5.6.4,5.6,Commissioning of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, cooling, heating",
5.6.5.1,5.6.5,5.6,Combined central heating and cooling systems: details to be stated.,m2,38,Mechanical services,"3, 4, 5, 6",,High,"cooling, heating",
5.6.5.2,5.6.5,5.6,Testing of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, cooling, heating",
5.6.5.3,5.6.5,5.6,Commissioning of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, cooling, heating",
5.6.6.1,5.6.6,5.6,Local heating and cooling units: details to be stated.,nr,38,Mechanical services,"3, 4, 5, 6",,High,"cooling, heating",
5.6.6.2,5.6.6,5.6,Testing of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, cooling, heating",
5.6.6.3,5.6.6,5.6,Commissioning of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, cooling, heating",
5.6.7.1,5.6.7,5.6,Central air conditioning system: details to be stated.,m2,38,Mechanical services,"5, 6",,High,air conditioning,
5.6.7.2,5.6.7,5.6,Testing of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, heating",
5.6.7.3,5.6.7,5.6,Commissioning of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, heating",
5.6.8.1,5.6.8,5.6,Self-contained air conditioning units: details to be stated.,nr,38,Mechanical services,"5, 6",,High,air conditioning,
5.6.8.2,5.6.8,5.6,Other local air conditioning systems: details to be stated.,nr,38,Mechanical services,"5, 6",,High,air conditioning,
5.6.8.3,5.6.8,5.6,Testing of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, heating",
5.6.8.4,5.6.8,5.6,Commissioning of installations.,%,38,Mechanical services,"3, 4, 5, 6",,High,"air conditioning, heating",
5.7.1.1,5.7.1,5.7,Central ventilation systems: details to be stated.,m2,38,Mechanical services,"7, 8",,High,ventilation,
5.7.1.2,5.7.1,5.7,Testing of installations.,%,38,Mechanical services,"7, 8",,High,ventilation,
5.7.1.3,5.7.1,5.7,Commissioning of installations.,%,38,Mechanical services,"7, 8",,High,ventilation,
5.7.2.1,5.7.2,5.7,Toilet/bathroom ventilation units: details to be stated.,nr,38,Mechanical services,"7, 8",WS33:9,High,"bath, ventilation",
5.7.2.2,5.7.2,5.7,Kitchen ventilation units: details to be stated.,nr,38,Mechanical services,"7, 8",,High,ventilation,
5.7.2.3,5.7.2,5.7,Safety cabinet and fume cupboard extracts: details to be stated.,nr,22,General joinery,"6, 7",,Medium,"cabinet, cupboard",
5.7.2.4,5.7.2,5.7,Fume extracts: details to be stated.,nr,38,Mechanical services,"7, 8",,High,ventilation,
5.7.2.5,5.7.2,5.7,Dust collection units: details to be stated.,nr,38,Mechanical services,"7, 8",,High,ventilation,
5.7.2.6,5.7.2,5.7,Anaesthetic gas extracts: details to be stated.,nr,38,Mechanical services,14,,High,gas,
5.7.2.7,5.7.2,5.7,Cyclone systems: details to be stated.,nr,38,Mechanical services,"7, 8",,High,ventilation,
5.7.2.8,5.7.2,5.7,Unit extract fans: details to be stated.,nr,38,Mechanical services,8,,High,fan,
5.7.2.9,5.7.2,5.7,Rotating ventilators: details to be stated.,nr,38,Mechanical services,"7, 8",,High,ventilation,
5.7.2.10,5.7.2,5.7,Roof mounted ventilation units: details to be stated.,nr,38,Mechanical services,"7, 8",,High,ventilation,
5.7.2.11,5.7.2,5.7,Car parking ventilation: details to be stated.,nr,38,Mechanical services,"7, 8",,High,ventilation,
5.7.2.12,5.7.2,5.7,Car parking ventilation: details to be stated.,nr,38,Mechanical services,"7, 8",,High,ventilation,
5.7.2.13,5.7.2,5.7,Other local and special ventilation systems: details to be stated.,nr,38,Mechanical services,"7, 8",,High,ventilation,
5.7.2.14,5.7.2,5.7,Testing of installations.,%,38,Mechanical services,"7, 8",,High,ventilation,
5.7.2.15,5.7.2,5.7,Commissioning of installations.,%,38,Mechanical services,"7, 8",,High,ventilation,
5.7.3.1,5.7.3,5.7,Smoke extract/control systems: details to be stated.,m2,38,Mechanical services,"7, 8",,High,ventilation,
5.7.3.2,5.7.3,5.7,Testing of installations.,%,38,Mechanical services,"7, 8",,High,ventilation,
5.7.3.3,5.7.3,5.7,Commissioning of installations.,%,38,Mechanical services,"7, 8",,High,ventilation,
5.8.1.1,5.8.1,5.8,Electrical mains and sub-mains distribution: details to be stated.,m2,39,Electrical services,"1, 2, 3",,High,electrical,
5.8.1.2,5.8.1,5.8,Testing of installations.,%,39,Electrical services,"1, 2, 3",,High,electrical,
5.8.1.3,5.8.1,5.8,Commissioning of installations.,%,39,Electrical services,"1, 2, 3",,High,electrical,
5.8.2.1,5.8.2,5.8,Power installation: details to be stated.,m2,39,Electrical services,"4, 5",,High,power,
5.8.2.2,5.8.2,5.8,Testing of installations.,%,39,Electrical services,"1, 2, 3, 4, 5",,High,"electrical, power",
5.8.2.3,5.8.2,5.8,Commissioning of installations.,%,39,Electrical services,"1, 2, 3, 4, 5",,High,"electrical, power",
5.8.3.1,5.8.3,5.8,Lighting installation: details to be stated.,m2,39,Electrical services,"6, 7",,High,lighting,
5.8.3.2,5.8.3,5.8,Testing of installations.,%,39,Electrical services,"1, 2, 3, 6, 7",,High,"electrical, lighting",
5.8.3.3,5.8.3,5.8,Commissioning of installations.,%,39,Electrical services,"1, 2, 3, 6, 7",,High,"electrical, lighting",
5.8.4.1,5.8.4,5.8,Specialist lighting installation: details to be stated.,nr/m2,39,Electrical services,"6, 7",,High,lighting,
5.8.4.2,5.8.4,5.8,Testing of installations.,%,39,Electrical services,"1, 2, 3, 6, 7",,High,"electrical, lighting",
5.8.4.3,5.8.4,5.8,Commissioning of installations.,%,39,Electrical services,"1, 2, 3, 6, 7",,High,"electrical, lighting",
5.8.5.1,5.8.5,5.8,Electricity generation systems: details to be stated.,nr,39,Electrical services,"1, 2, 3",,High,electrical,
5.8.5.2,5.8.5,5.8,Testing of installations.,%,39,Electrical services,"1, 2, 3",,High,electrical,
5.8.5.3,5.8.5,5.8,Commissioning of installations.,%,39,Electrical services,"1, 2, 3",,High,electrical,
5.8.5.4,5.8.5,5.8,"Wind turbines: details, including output (kW), to be stated.",nr,39,Electrical services,"1, 2, 3",,High,electrical,
5.8.5.5,5.8.5,5.8,"Photovoltaic devices: details, including surface area of units (m2) and output (kW), to be stated.",nr,39,Electrical services,"1, 2, 3",,High,electrical,
5.8.5.6,5.8.5,5.8,"Other transformation devices: details, including output (kW), to be stated.",nr,39,Electrical services,"1, 2, 3",,High,electrical,
5.8.5.7,5.8.5,5.8,Testing of installations.,%,39,Electrical services,"1, 2, 3",,High,electrical,
5.8.5.8,5.8.5,5.8,Commissioning of installations.,%,39,Electrical services,"1, 2, 3",,High,electrical,
5.8.6.1,5.8.6,5.8,Earthing and bonding systems: details to be stated.,m2,39,Electrical services,16,,High,earthing,
5.8.6.2,5.8.6,5.8,Testing of installations.,%,39,Electrical services,"1, 2, 3, 16",,High,"earthing, electrical",
5.8.6.3,5.8.6,5.8,Commissioning of installations.,%,39,Electrical services,"1, 2, 3, 16",,High,"earthing, electrical",
5.9.1.1,5.9.1,5.9,Fuel storage: details to be stated.,nr,38,Mechanical services,,,Low,,
5.9.1.2,5.9.1,5.9,Testing of installations.,%,38,Mechanical services,,,Low,,
5.9.1.3,5.9.1,5.9,Commissioning of installations.,%,38,Mechanical services,,,Low,,
5.9.2.1,5.9.2,5.9,,m2,38,Mechanical services,,,Low,,
5.9.2.2,5.9.2,5.9,Testing of installations.,%,38,Mechanical services,,,Low,,
5.9.2.3,5.9.2,5.9,Commissioning of installations.,%,38,Mechanical services,,,Low,,
5.10.1.1,5.10.1,5.10,"Passenger lifts: details, including capacity (i.e. number of persons), speed (in m/sec), number of doors (nr), door heights and number of levels serviced (nr), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS40:1,2",High,"door, lift",
5.10.1.2,5.10.1,5.10,"Wall climbing lifts: details, including capacity (in kg), number of persons, speed (in m/sec) and number of levels serviced (nr), to be stated.",nr,40,Transportation systems,"1, 2",WS14:1,High,"lift, wall",
5.10.1.3,5.10.1,5.10,"Goods lifts: details, including capacity (in kg), number of doors, door heights and number of levels serviced (nr), to be stated.",nr,24,"Doors, shutters","1, 2, 3, 4, 5","WS40:1,2",High,"door, lift",
5.10.1.4,5.10.1,5.10,Testing of lift installations.,%,40,Transportation systems,"1, 2",,High,lift,
5.10.1.5,5.10.1,5.10,Commissioning of lift installations.,%,40,Transportation systems,"1, 2",,High,lift,
5.10.1.6,5.10.1,5.10,"Enclosed hoists: details, including capacity (in kg) and number of levels (nr) serviced, to be stated.",nr,40,Transportation systems,4,,High,hoist,
5.10.1.7,5.10.1,5.10,Testing of enclosed hoist installations.,%,40,Transportation systems,4,,High,hoist,
5.10.1.8,5.10.1,5.10,Commissioning of enclosed hoist installations.,%,40,Transportation systems,4,,High,hoist,
5.10.2.1,5.10.2,5.10,"Escalators: details, including, number of flights served (nr), angle of rise (in degrees), rise (m) and step width (mm), to be stated.",nr,40,Transportation systems,3,,High,escalator,
5.10.2.2,5.10.2,5.10,Testing of installations.,%,40,Transportation systems,3,,High,escalator,
5.10.2.3,5.10.2,5.10,Commissioning of installations.,%,40,Transportation systems,3,,High,escalator,
5.10.3.1,5.10.3,5.10,"Moving pavements: details, including, length (m) and width (mm), to be stated.",nr,40,Transportation systems,,,Low,,
5.10.3.2,5.10.3,5.10,Testing of installations.,%,40,Transportation systems,,,Low,,
5.10.3.3,5.10.3,5.10,Commissioning of installations.,%,40,Transportation systems,,,Low,,
5.10.4.1,5.10.4,5.10,Powered stairlifts: details to be stated.,nr,25,"Stairs, walkways","1, 2, 3","WS39:4,5; WS40:1,2",High,"lift, power, stair",
5.10.4.2,5.10.4,5.10,Testing of installations.,%,25,"Stairs, walkways","1, 2, 3","WS39:4,5; WS40:1,2",High,"lift, power, stair",
5.10.4.3,5.10.4,5.10,Commissioning of installations.,%,25,"Stairs, walkways","1, 2, 3","WS39:4,5; WS40:1,2",High,"lift, power, stair",
5.10.5.1,5.10.5,5.10,"People conveyors: details, including, length (m) and width (mm), to be stated.",nr,40,Transportation systems,,,Low,,
5.10.5.2,5.10.5,5.10,"Goods conveyors: details, including, length (m) and width (mm), to be stated.",nr,40,Transportation systems,,,Low,,
5.10.5.3,5.10.5,5.10,Testing of installations.,%,40,Transportation systems,,,Low,,
5.10.5.4,5.10.5,5.10,Commissioning of installations.,%,40,Transportation systems,,,Low,,
5.10.6.1,5.10.6,5.10,"Dock levellers and scissor lifts: details, including total rise (m), to be stated.",nr,40,Transportation systems,"1, 2",,High,lift,
5.10.6.2,5.10.6,5.10,"Scissor lifts: details, including total rise (m), to be stated.",nr,40,Transportation systems,"1, 2",,High,lift,
5.10.6.3,5.10.6,5.10,Testing of installations.,%,40,Transportation systems,"1, 2",,High,lift,
5.10.6.4,5.10.6,5.10,Commissioning of installations.,%,40,Transportation systems,"1, 2",,High,lift,
5.10.7.1,5.10.7,5.10,"Cranes: details including  design load (kN) and total rise (m), to be stated.",nr,40,Transportation systems,4,,High,hoist,
5.10.7.2,5.10.7,5.10,"Travelling cranes: details, including design load (kN), to be stated.",nr,40,Transportation systems,4,,High,hoist,
5.10.7.3,5.10.7,5.10,"Unenclosed hoists: details, including total rise (m), to be stated.",nr,40,Transportation systems,4,,High,hoist,
5.10.7.4,5.10.7,5.10,Testing of installations.,%,40,Transportation systems,4,,High,hoist,
5.10.7.5,5.10.7,5.10,Commissioning of installations.,%,40,Transportation systems,4,,High,hoist,
5.10.8.1,5.10.8,5.10,"Car lifts: details, including number of floors served (nr), to be stated.",nr,40,Transportation systems,"1, 2",,High,lift,
5.10.8.2,5.10.8,5.10,"Car stacking systems: details, including capacity (i.e. number of cars - nr), to be stated.",nr,40,Transportation systems,"1, 2",,High,lift,
